name,length,metacritic,excitement,played,genre,playing
Beyond Good and Evil (ps2/gamecube),11,86,6,false,action/adventure
Shotgun Mario 64 (N62 mod),0,0,4,false,platform
Crash (3 volumes from ps1),18,91,6,false,platform
Fatal Frame II (PS2),10,88,6,false,horror
Onimusha (PS2),5,89,5,false,action/adventure
Blood Will Tell (PS2),15,82,4,false,action/adventure
Okami (PS2),34,93,4,true,action/adventure
Mafia (PS2),16,87,5,false,action
Genji - Dawn of Samurai (PS2),7,89,5,false,action
Persona 4 (PS2),70,90,7,false,rpg
Lord of the ring - return (PS2),9,86,6,false,action/adventure
Max Payne 2 (PS2),8,89,5,false,action
Samurai Western (PS2),5,73,5,false,action
Way of the Samurai (PS2),4,8,6,false,action/adventure
Fatal Frame (PS2),8,85,6,false,horror
Ultimate Spider Man (PS2),5,89,6,false,action/adventure
Time Splitters 2 (PS2),9,90,7,false,fps
Smash Bros Brawl (Wii),12,86,6,true,fighting
AC chronicles china (xbox),6,69,3,true,2d action
AC chronicles india (xbox),6,63,3,false,2d action
AC chronicles russia (xbox),6,62,3,false,2d action
AC Black Flag (xbox),24,88,6,true,action/adventure
AC Origins (xbox),30,85,6,true,action/adventure
AC Rogue (xbox),11,73,4,false,action/adventure
AC Unity (xbox),17,72,4,true,action/adventure
AC Syndicate (xbox),19,78,4,false,action/adventure
AC Brotherhood (xbox),16,89,6,true,action/adventure
AC Revelations (xbox),13,8,8,false,action/adventure
Batman: Arkham Knight (xbox),17,87,5,true,action/adventure
Batman: Arkham Asylum (xbox),12,92,5,false,action/adventure
Batman: Arkham City (xbox),16,94,4,true,action/adventure
Battlefield 4 (xbox),6,85,7,true,fps
Call of Juarez gunslinger (xbox),5,82,5,false,fps
Cuphead (xbox),15,88,9,true,run and gun
Dark Souls III (xbox),32,9,9,true,souls
Dead Space 2 (xbox),9,90,9,true,horror/shooter
Dishonored (xbox),12,88,5,true,stealth
Doom (xbox),12,87,6,true,fps
Far Cry Primal (xbox),15,77,4,true,fps/adventure
Far Cry 5 (xbox),18,82,5,true,fps
Forza 4 (xbox),14,92,7,true,car
GTA IV (xbox),28,98,7,true,gta
Hades (xbox),23,93,7,false,roguelite
Hellblade Sinua (xbox),8,88,7,true,action/adventure
High on Life: High on Knife (xbox),3,69,5,false,fps
High on Life (xbox),10,7,9,true,fps
Just Cause 3 (xbox),18,74,3,true,action/adventure
Mass Effect (xbox),17,91,4,true,action/adventure
Lies of P (xbox) ,31,84,10,true,soulslike
Metal Gear Rising (xbox),7,83,8,true,action/adventure
Metro Exodus (xbox),16,85,7,false,fps
Mirrors Edge Catalyst (xbox),9,74,6,true,platform/action
Naruto Storm (4 volumes from xbox),45,79,4,true,fighting
Nier Automatta (xbox),21,89,9,false,action/adventure
Portal (xbox),3,90,6,true,puzzle
Red Dead Redemption 2 (xbox),50,97,7,true,open world action
Sekiro (xbox),30,91,7,true,soulslike
The Witcher 3 DLC (xbox),25,92,7,true,open world rpg
Shadow of War (xbox),21,80,5,true,action/adventure
The Messenger (xbox),12,86,9,true,side scrolling action
Wolfenstein II (xbox),11,87,7,false,fps
Yakuza 0 (xbox),32,90,6,true,action/adventure
Undertale (pc),7,92,10,false,rpg
Jedi Fallen Order (xbox) ,17,81,8,true,action/adventure
Blasphemous 2 (xbox),15,85,7,false,metroidvania
Super Mario Sunshine (gamecube),15,92,6,true,platform
Castlevania Dracula X chronicles (psp),5,85,5,false,metroidvania
